time,participant,order,app_suna,non_suna,app_ono,non_ono,utterance
0:00:02,participant02,1,0,0,0,0,うん、ボールやボール
0:00:11,participant02,1,1,0,0,0,これはどうやって遊ぶん、りっちゃん
0:00:14,participant02,1,0,0,0,0,パンパンって
0:00:15,participant02,1,0,0,0,0,パンパンって振ってみ
0:00:20,participant02,1,0,0,0,0,カシャンカシャン
0:00:21,participant02,1,0,0,0,0,パンパンって
0:00:25,participant02,1,0,0,0,0,ええ？
0:00:32,participant02,1,0,0,0,0,わ、なんか出てきた
0:00:35,participant02,1,0,0,0,0,へへ
0:00:43,participant02,1,0,0,0,0,これを押してみて
0:00:48,participant02,1,0,0,0,0,てひかるんじゃないおしてな？
0:00:50,participant02,1,0,0,0,0,ほら
0:00:50,participant02,1,0,0,0,0,アンパンマン出てきた
0:00:55,participant02,1,0,0,0,0,ほら
0:00:55,participant02,1,0,0,0,0,ほら
0:00:56,participant02,1,0,0,0,0,あ、いっぱい出てきた
0:01:03,participant02,1,0,0,0,0,閉まれへん
0:01:05,participant02,1,0,0,0,0,あ、こうか
0:01:06,participant02,1,0,0,0,0,はい
0:01:08,participant02,1,0,0,0,0,ちゃうちゃうちゃう
0:01:09,participant02,1,0,0,0,0,ここ、こうして
0:01:11,participant02,1,0,0,0,0,ぱん
0:01:13,participant02,1,0,0,0,0,ああ
0:01:15,participant02,1,0,0,0,0,アンパンマンやー
0:01:17,participant02,1,0,0,0,0,ここはー？
0:01:18,participant02,1,0,0,0,0,ここ押して？
0:01:21,participant02,1,0,0,0,0,ちがちがちが
0:01:22,participant02,1,0,0,0,0,わあ
0:01:23,participant02,1,0,0,0,0,食パンマン
0:01:28,participant02,1,0,0,0,0,よいしょ
0:01:42,participant02,1,0,0,0,0,りっちゃんめっちゃいっぱいあんで、ほら
0:01:47,participant02,1,0,0,0,0,ほら、それどうすんの
0:01:54,participant02,1,0,0,0,0,うんほいじゃこれここに入れて
0:01:58,participant02,1,0,0,0,0,その青いのここに入れて
0:02:01,participant02,1,0,0,0,0,はい
0:02:03,participant02,1,0,0,0,0,ちゃう
0:02:11,participant02,1,0,0,0,0,どこに入るそれ
0:02:12,participant02,1,0,0,0,0,そこ
0:02:12,participant02,1,0,0,0,0,惜しいな
0:02:14,participant02,1,0,0,0,0,違うなあ
0:02:15,participant02,1,0,0,0,0,ここは？ここ
0:02:17,participant02,1,1,0,0,1,やんなったん
0:02:18,participant02,1,0,0,0,0,これは？
0:02:21,participant02,1,0,0,0,0,え、ここここ
0:02:25,participant02,1,0,0,0,0,それここや
0:02:26,participant02,1,0,0,0,0,これや
0:02:27,participant02,1,0,0,0,0,はい
0:02:28,participant02,1,0,0,0,0,いれていれて
0:02:32,participant02,1,0,0,0,0,入った
0:02:33,participant02,1,0,0,0,0,すご
0:02:35,participant02,1,0,0,0,0,入った
0:02:35,participant02,1,0,0,0,0,すご
0:02:38,participant02,1,1,0,1,0,取りたいの
0:02:39,participant02,1,0,0,0,0,はい、ここ開けて？
0:02:41,participant02,1,0,0,0,0,ちらちらちらちら
0:02:43,participant02,1,0,0,0,0,ね
0:02:46,participant02,1,0,0,0,0,あった
0:02:48,participant02,1,0,0,0,0,わあ
0:02:50,participant02,1,0,0,0,0,すご
0:02:52,participant02,1,0,0,0,0,わっ
0:02:54,participant02,1,0,0,0,0,入るやん
0:02:55,participant02,1,0,0,0,0,おっ
0:03:00,participant02,1,0,0,0,0,はい、りっちゃんこれは？
0:03:04,participant02,1,0,0,0,0,これは？
0:03:09,participant02,1,0,0,0,0,はい
0:03:13,participant02,1,0,0,0,0,これりっちゃんこれ入れてみて
0:03:16,participant02,1,0,0,0,0,それどこかなー
0:03:18,participant02,1,0,0,0,0,んーどこかなー
0:03:20,participant02,1,0,0,0,0,ここや
0:03:31,participant02,1,0,0,1,0,もういいの？
0:03:34,participant02,1,0,0,0,0,ポン
0:03:36,participant02,1,0,0,0,0,ぽん
0:03:45,participant02,1,0,0,0,0,はい
0:04:03,participant02,1,0,0,0,0,閉めて
0:04:04,participant02,1,0,0,0,0,閉めて
0:04:12,participant02,1,0,0,1,0,りっちゃんこれは？
0:04:15,participant02,1,0,0,0,0,どうやって遊ぶんやろ
0:04:20,participant02,1,1,0,1,0,あ、ほらりっちゃん好きなやつやん、これ
0:04:21,participant02,1,0,0,0,0,ほら見て
0:04:22,participant02,1,0,0,0,0,りっちゃん見て見て
0:04:23,participant02,1,0,0,0,0,わあ
0:04:24,participant02,1,0,0,0,0,あっ、あー
0:04:27,participant02,1,0,0,0,0,おお
0:04:28,participant02,1,0,0,0,0,おお
0:04:29,participant02,1,0,0,0,0,これははい
0:04:35,participant02,1,0,0,0,0,りっちゃん食べたあかんよー
0:04:37,participant02,1,0,0,0,0,りっちゃん見て見て見て
0:04:38,participant02,1,0,0,0,0,はい
0:04:39,participant02,1,0,0,0,0,おーおーおー
0:04:45,participant02,1,0,0,0,0,ああ危ない危ない
0:04:59,participant02,1,0,0,0,0,ほら置いて
0:05:01,participant02,1,0,0,0,0,はいここにおいてみて
0:05:04,participant02,1,0,0,0,0,こうやって
0:05:05,participant02,1,0,0,0,0,はいいくよー
