time,participant,order,category
0:00:00,participant01,1,0
0:00:04,participant01,1,0
0:00:05,participant01,1,0
0:00:06,participant01,1,0
0:00:07,participant01,1,0
0:00:08,participant01,1,0
0:00:09,participant01,1,0
0:00:11,participant01,1,0
0:00:12,participant01,1,0
0:00:13,participant01,1,0
0:00:15,participant01,1,0
0:00:16,participant01,1,0
0:00:17,participant01,1,0
0:00:18,participant01,1,0
0:00:20,participant01,1,0
0:00:22,participant01,1,1
0:00:25,participant01,1,0
0:00:26,participant01,1,0
0:00:30,participant01,1,1
0:00:31,participant01,1,0
0:00:33,participant01,1,0
0:00:36,participant01,1,1
0:00:38,participant01,1,0
0:00:39,participant01,1,0
0:00:39,participant01,1,0
0:00:41,participant01,1,0
0:00:42,participant01,1,0
0:00:44,participant01,1,0
0:00:46,participant01,1,0
0:00:47,participant01,1,0
0:00:49,participant01,1,0
0:00:53,participant01,1,0
0:00:54,participant01,1,0
0:00:55,participant01,1,0
0:01:00,participant01,1,0
0:01:00,participant01,1,0
0:01:01,participant01,1,0
0:01:03,participant01,1,0
0:01:05,participant01,1,0
0:01:09,participant01,1,0
0:01:11,participant01,1,0
0:01:13,participant01,1,0
0:01:15,participant01,1,0
0:01:18,participant01,1,0
0:01:20,participant01,1,0
0:01:21,participant01,1,0
0:01:23,participant01,1,0
0:01:27,participant01,1,0
0:01:31,participant01,1,0
0:01:33,participant01,1,0
0:01:35,participant01,1,0
0:01:38,participant01,1,0
0:01:39,participant01,1,1
0:01:40,participant01,1,0
0:01:43,participant01,1,0
0:01:44,participant01,1,0
0:01:45,participant01,1,0
0:01:47,participant01,1,0
0:01:49,participant01,1,0
0:01:50,participant01,1,0
0:01:51,participant01,1,0
0:01:56,participant01,1,1
0:01:58,participant01,1,0
0:02:01,participant01,1,0
0:02:04,participant01,1,1
0:02:08,participant01,1,0
0:02:10,participant01,1,0
0:02:13,participant01,1,0
0:02:15,participant01,1,0
0:02:18,participant01,1,0
0:02:19,participant01,1,1
0:02:20,participant01,1,0
0:02:22,participant01,1,0
0:02:23,participant01,1,0
0:02:27,participant01,1,0
0:02:29,participant01,1,0
0:02:32,participant01,1,0
0:02:34,participant01,1,0
0:02:35,participant01,1,0
0:02:37,participant01,1,0
0:02:38,participant01,1,0
0:02:41,participant01,1,0
0:02:45,participant01,1,0
0:02:49,participant01,1,0
0:02:52,participant01,1,0
0:02:53,participant01,1,0
0:02:54,participant01,1,0
0:02:58,participant01,1,0
0:02:59,participant01,1,0
0:03:01,participant01,1,0
0:03:02,participant01,1,0
0:03:04,participant01,1,0
0:03:09,participant01,1,0
0:03:11,participant01,1,0
0:03:12,participant01,1,1
0:03:16,participant01,1,0
0:03:19,participant01,1,0
0:03:22,participant01,1,0
0:03:23,participant01,1,0
0:03:27,participant01,1,0
0:03:29,participant01,1,0
0:03:32,participant01,1,0
0:03:36,participant01,1,0
